Address,Latitude,Longitude,APC,LP,PDP,NNPP,Accredited_Voters,Registered_Voters,,,,,
"URBAN SCHOOL II, OGBARU, ANAMBRA",5.9213455,6.7279918,0,171,1,0,181,772,,,,,
"UMUAJADA, ATANI III, OGBARU, ANAMBRA",6.0130639,6.7467229,0,87,1,0,89,562,,,,,
"OLD UAC II, OGBARU, ANAMBRA",6.2208997,6.9369559,2,84,0,0,88,509,,,,,
"URBAN SCHOOL III, OGBARU, ANAMBRA",5.9213455,6.7279918,0,158,0,0,158,644,,,,,
"CENTRAL SCHOOL, ATANI III, OGBARU, ANAMBRA",6.0171005,6.7496365,0,123,5,0,134,814,,,,,
"URBAN SCHOOL IV, OGBARU, ANAMBRA",5.9213455,6.7279918,0,75,4,0,81,458,,,,,
"UMUASIBELE, OGBARU, ANAMBRA",6.2208997,6.9369559,1,127,1,0,130,850,,,,,
"UKWU MANGO, OGBARU, ANAMBRA",6.2208997,6.9369559,0,297,0,0,301,1094,,,,,
"CENTRAL SCHOOL, OGBARU, ANAMBRA",5.9213455,6.7279918,0,45,0,0,116,710,,,,,
"EKE OCHUCHE, OGBARU, ANAMBRA",5.9424653,6.7212976,0,210,2,0,153,750,,,,,
"LAGOS CAMP I, OGBARU, ANAMBRA",6.5243793,3.3792057,3,134,0,0,44,276,,,,,
"COMM. PRY. SCHOOL, OGBAKUBA, OGBARU, ANAMBRA",5.9603573,6.7317103,0,45,0,0,113,552,,,,,
"NKWO OGBAKUBA, OGBARU, ANAMBRA",5.9524633,6.7601057,0,110,7,4,130,556,,,,,
"HEALTH CENTRE, OGBARU, ANAMBRA",5.9213455,6.7279918,0,77,2,1,165,1119,,,,,
"C.P.S AMIYI, OGBARU, ANAMBRA",6.2208997,6.9369559,0,117,4,2,133,692,,,,,
"C.P.S UMUZU I, OGBARU, ANAMBRA",6.2208997,6.9369559,0,45,0,0,15,361,,,,,
"C.P.S UMUZU II, OGBARU, ANAMBRA",6.2208997,6.9369559,1,17,0,0,12,313,,,,,
"LAGOS CAMP II, OGBARU, ANAMBRA",6.5243793,3.3792057,0,17,0,0,3,194,,,,,
"NHUHU CAMP, OGBARU, ANAMBRA",6.2208997,6.9369559,0,9,24,0,74,345,,,,,
"C.S. OCHUCHE, OGBARU, ANAMBRA",5.9417666,6.7219722,0,3,0,0,128,544,,,,,
"AGWE CAMP., OGBARU, ANAMBRA",6.2208997,6.9369559,4,4,13,0,24,318,,,,,
"UTU CAMP, OCHUCHE, OGBARU, ANAMBRA",5.9417666,6.7219722,0,17,0,0,3,331,,,,,
"POST OFFICE I, OGBARU, ANAMBRA",5.9213455,6.7279918,0,84,0,1,85,242,,,,,
"KINGS SCHOOL, OGBARU, ANAMBRA",5.9213455,6.7279918,0,48,1,0,49,143,,,,,
"C.P.S UTUWOM, OGBARU, ANAMBRA",6.2208997,6.9369559,0,26,2,3,35,244,,,,,
"IYI AKATA, OGBARU, ANAMBRA",6.2208997,6.9369559,0,55,3,0,63,268,,,,,
"OKICHI ELEKE I, OGBARU, ANAMBRA",6.2208997,6.9369559,0,77,1,0,81,212,,,,,
"UMUEZEOMA, OGBARU, ANAMBRA",6.2208997,6.9369559,0,103,4,0,108,429,,,,,
"OJAGBI, OGBARU, ANAMBRA",6.2208997,6.9369559,1,47,2,0,53,183,,,,,
"ONUODIGIRI, OGBARU, ANAMBRA",6.2208997,6.9369559,0,61,0,0,61,238,,,,,
"OBIKWELE, OGBARU, ANAMBRA",6.2208997,6.9369559,10,54,17,0,77,422,,,,,
"AGBO OGWE MMILINSO, OGBARU, ANAMBRA",6.2208997,6.9369559,0,24,0,0,24,84,,,,,
"UMUNKWOCHA, OGBARU, ANAMBRA",6.2208997,6.9369559,0,71,0,0,86,261,,,,,
"POST OFFICE II, OGBARU, ANAMBRA",5.9213455,6.7279918,0,30,4,0,35,147,,,,,
"OKICHI ELEKE II, OGBARU, ANAMBRA",6.2208997,6.9369559,0,30,0,0,31,118,,,,,
"OGBARU MAIN MARKET I, OGBARU, ANAMBRA",6.1329419,6.7923994,0,81,0,0,82,337,,,,,
"OGBARU MAIN MARKET II, OGBARU, ANAMBRA",5.9213455,6.7279918,0,181,0,0,184,912,,,,,
"PLAZA GUEST HOUSE I, OGBARU, ANAMBRA",5.9213455,6.7279918,0,117,1,0,119,817,,,,,
"PLAZA GUEST HOUSE II, OGBARU, ANAMBRA",5.9213455,6.7279918,0,144,3,0,154,672,,,,,
"AKPULU TOWN HALL I, OGBARU, ANAMBRA",5.916667,7.083333,0,156,0,0,158,787,,,,,
"O.C.P.S I II, OGBARU, ANAMBRA",6.2208997,6.9369559,0,87,1,0,88,865,,,,,
"EKWELIGWE LANE I, OGBARU, ANAMBRA",6.2208997,6.9369559,0,151,0,0,152,595,,,,,
"OGBARU MAIN MARKET V, OGBARU, ANAMBRA",6.1329419,6.7923994,0,110,0,0,124,519,,,,,
"OGBARU MAIN MARKET VI, OGBARU, ANAMBRA",6.1329419,6.7923994,0,63,1,0,64,243,,,,,
"EKWELIGWE LANE II, OGBARU, ANAMBRA",6.2208997,6.9369559,0,110,0,0,110,316,,,,,
"OGBARU MAIN MARKET VII, OGBARU, ANAMBRA",6.1329419,6.7923994,0,105,1,0,107,716,,,,,
"OGBARU MAIN MARKET VIII, OGBARU, ANAMBRA",5.9213455,6.7279918,0,92,0,2,97,741,,,,,
"O.C.P.S II, OGBARU, ANAMBRA",6.2208997,6.9369559,0,92,0,0,98,639,,,,,
"ACHINA/AMORKA JUNCTION I, OGBARU, ANAMBRA",6.1084439,6.7636774,0,174,1,1,77,317,,,,,
"ACHINA/AMORKA JUNCTION II, OGBARU, ANAMBRA",6.1084439,6.7636774,0,102,1,3,110,502,,,,,
"ACHINA/AMORKA JUNCTION III, OGBARU, ANAMBRA",6.1084439,6.7636774,1,130,3,0,142,478,,,,,
"FESTAC, OGBARU, ANAMBRA",6.2208997,6.9369559,0,121,1,0,124,799,,,,,
"MIKADO HALL I, OGBARU, ANAMBRA",6.2208997,6.9369559,0,128,1,1,143,686,,,,,
"TRAVELLERS HOTEL I, OGBARU, ANAMBRA",5.9213455,6.7279918,0,36,2,0,138,795,,,,,
"NTUEKE HALL II, OGBARU, ANAMBRA",6.2208997,6.9369559,0,133,3,2,141,664,,,,,
"CUSTOMS OFFICE III, OGBARU, ANAMBRA",5.9213455,6.7279918,2,114,0,3,121,692,,,,,
"MIKADO HALL III, OGBARU, ANAMBRA",6.2208997,6.9369559,0,115,0,0,122,562,,,,,
"MIKADO HALL IV, OGBARU, ANAMBRA",6.2208997,6.9369559,1,108,1,2,117,693,,,,,
"TRAVELLERS HOTEL III, OGBARU, ANAMBRA",5.9213455,6.7279918,1,102,0,0,103,369,,,,,
"NTUEKE HALL III, OGBARU, ANAMBRA",6.2208997,6.9369559,3,85,0,0,96,485,,,,,
"NTUEKE HALL IV, OGBARU, ANAMBRA",6.2208997,6.9369559,0,59,0,0,64,304,,,,,
"AKPARARA III, OGBARU, ANAMBRA",6.2208997,6.9369559,0,140,1,0,144,554,,,,,
"GALLANT III, OGBARU, ANAMBRA",6.2208997,6.9369559,0,0,0,0,103,544,,,,,
"HOPE NURSERY SCHOOL I, OGBARU, ANAMBRA",5.9213455,6.7279918,0,119,0,0,0,723,,,,,
"INDEPENDENCE HALL I, OGBARU, ANAMBRA",5.9213455,6.7279918,0,173,10,0,190,1023,,,,,
"GBUGHEMOBI JUNCTION I, OGBARU, ANAMBRA",6.118124,6.8362651,0,121,1,0,0,708,,,,,
"ARIRI ONWU/OJOTO I, OGBARU, ANAMBRA",6.120145,6.7899171,0,101,0,0,103,563,,,,,
"ARIRI ONWU/OJOTO II, OGBARU, ANAMBRA",6.120145,6.7899171,0,91,0,0,92,643,,,,,
"UMUOBOM HALL I, OGBARU, ANAMBRA",6.2208997,6.9369559,0,86,0,0,86,480,,,,,
"UMUOBOM HALL II, OGBARU, ANAMBRA",6.2208997,6.9369559,2,133,0,0,135,821,,,,,
"CO-OPERATIVE ROAD I, OGBARU, ANAMBRA",5.9213455,6.7279918,0,87,1,0,101,631,,,,,
"UMUOBOM HALL III, OGBARU, ANAMBRA",6.2208997,6.9369559,0,98,1,0,107,353,,,,,
"CO-OPERATIVE ROAD III, OGBARU, ANAMBRA",5.9213455,6.7279918,1,64,0,1,67,469,,,,,
"ARIRI ONWU/OJOTO IV, OGBARU, ANAMBRA",6.120145,6.7899171,0,49,3,0,57,365,,,,,
"ARIRI ONWU/OJOTO V, OGBARU, ANAMBRA",6.120145,6.7899171,0,48,0,0,53,354,,,,,
"ARIRI ONWU/OJOTO VI, OGBARU, ANAMBRA",6.120145,6.7899171,0,82,2,0,86,561,,,,,
"UMUOBOM HALL VI, OGBARU, ANAMBRA",6.2208997,6.9369559,0,103,0,0,111,472,,,,,
"CO-OPERATIVE ROAD VI, OGBARU, ANAMBRA",5.9213455,6.7279918,0,51,0,2,55,333,,,,,
"CO-OPERATIVE ROAD VII, OGBARU, ANAMBRA",5.9213455,6.7279918,0,72,1,0,76,417,,,,,
"CO-OPERATIVE ROAD VIII, OGBARU, ANAMBRA",5.9213455,6.7279918,1,58,3,1,64,276,,,,,
"CO-OPERATIVE ROAD IX, OGBARU, ANAMBRA",5.9213455,6.7279918,0,51,3,1,60,291,,,,,
"ARIRI ONWU/OJOTO VII, OGBARU, ANAMBRA",6.120145,6.7899171,0,66,2,1,84,353,,,,,
"O.C.P.S III I, OGBARU, ANAMBRA",6.2208997,6.9369559,0,109,2,3,125,922,,,,,
"SHOW LIGHT II, OGBARU, ANAMBRA",6.2208997,6.9369559,1,189,2,0,198,973,,,,,
"MKPIKPA LAYOUT II, OGBARU, ANAMBRA",6.2208997,6.9369559,1,178,0,0,181,733,,,,,
"UZOIGWE SQUARE IV, OGBARU, ANAMBRA",6.2208997,6.9369559,1,52,1,0,57,352,,,,,
"MKPIKPA LAYOUT IV, OGBARU, ANAMBRA",6.2208997,6.9369559,0,158,1,2,165,747,,,,,
"MKPIKPA LAYOUT V, OGBARU, ANAMBRA",6.2208997,6.9369559,2,150,2,5,165,770,,,,,
"OTUMOYE PRY. SCHOOL I, OGBARU, ANAMBRA",6.1469507,6.7765828,0,165,1,0,173,932,,,,,
"G.C.M. I, OGBARU, ANAMBRA",6.2208997,6.9369559,0,123,0,0,126,765,,,,,
"STARLITE STREET I, OGBARU, ANAMBRA",6.2208997,6.9369559,0,152,0,0,159,776,,,,,
"OGBOEFERE CIVIC HALL, OGBARU, ANAMBRA",6.2208997,6.9369559,0,153,2,2,148,824,,,,,
"OGBOEFERE HALL I, OGBARU, ANAMBRA",6.2208997,6.9369559,0,152,0,0,154,811,,,,,
"WATER SIDE I, OGBARU, ANAMBRA",6.2208997,6.9369559,1,112,1,2,115,670,,,,,
"AMIRI TOWN HALL II, OGBARU, ANAMBRA",6.2208997,6.9369559,0,146,0,0,91,626,,,,,
"OTUMOYE PRY. SCHOOL II, OGBARU, ANAMBRA",6.1469507,6.7765828,0,185,1,1,0,940,,,,,
"ISUKWUATO STREET II, OGBARU, ANAMBRA",6.2208997,6.9369559,0,86,2,0,118,659,,,,,
"FESTAC III, OGBARU, ANAMBRA",6.2208997,6.9369559,0,0,0,0,136,813,,,,,
"UNITY PRY. SCHOOL II, OGBARU, ANAMBRA",5.9213455,6.7279918,0,60,0,0,57,768,,,,,
"G.C.M. II, OGBARU, ANAMBRA",6.2208997,6.9369559,0,105,0,1,111,699,,,,,
"G.C.M. III, OGBARU, ANAMBRA",6.2208997,6.9369559,0,69,0,0,69,589,,,,,
"OGBOEFERE II, OGBARU, ANAMBRA",6.2208997,6.9369559,2,108,0,1,118,596,,,,,
"OGBOEFERE III, OGBARU, ANAMBRA",6.2208997,6.9369559,0,153,0,0,155,911,,,,,
"OTUMOYE PRY. SCHOOL III, OGBARU, ANAMBRA",6.1469507,6.7765828,0,173,2,0,176,868,,,,,
"KARA II, OGBARU, ANAMBRA",6.2208997,6.9369559,1,106,2,2,118,694,,,,,
"G.C.M. IV, OGBARU, ANAMBRA",6.2208997,6.9369559,1,147,0,0,160,909,,,,,
"SUB-URBAN/ISUKWUATO STREET I, OGBARU, ANAMBRA",5.9213455,6.7279918,0,119,0,1,122,688,,,,,
"WATERSIDE II, OGBARU, ANAMBRA",5.9213455,6.7279918,0,97,0,0,101,605,,,,,
"ST. RAPHAEL'S ROAD, OGBARU, ANAMBRA",5.9213455,6.7279918,0,59,0,0,59,835,,,,,
"FORTUNE PRESS I, OGBARU, ANAMBRA",6.2208997,6.9369559,0,85,1,1,93,686,,,,,
"OGBOEFERE IV, OGBARU, ANAMBRA",6.2208997,6.9369559,0,184,0,0,185,1009,,,,,
"FESTAC/KARA, OGBARU, ANAMBRA",6.2208997,6.9369559,0,192,0,2,185,777,,,,,
"C.P.S. UMUNANKWO, OGBARU, ANAMBRA",5.925429,6.7159532,2,145,8,0,161,656,,,,,
"UKWUOJI, OGBARU, ANAMBRA",6.2208997,6.9369559,0,13,0,0,13,306,,,,,
"C.P.S MPUTU, OGBARU, ANAMBRA",6.2208997,6.9369559,0,98,0,0,99,783,,,,,
"UMUEZEOHOBI, OGBARU, ANAMBRA",6.2208997,6.9369559,0,124,8,3,135,633,,,,,
"ABOLO/UKWUOJI, OGBARU, ANAMBRA",6.2208997,6.9369559,0,7,7,0,7,258,,,,,
"ODUMALA/MPUTU C.P.S, OGBARU, ANAMBRA",6.2208997,6.9369559,1,62,3,0,70,453,,,,,
"AGUDIBE/UKWUOFOR, OGBARU, ANAMBRA",6.2208997,6.9369559,0,0,0,0,0,198,,,,,
"C.P.S., ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,2,240,1,1,249,1147,,,,,
"ALL SAINTS PRIMARY SCHOOL II , ONITSHA-NORTH, ANAMBRA",6.1550253,6.7914073,0,239,5,1,265,1029,,,,,
"NEW BETHEL PRY. SCHOOL I, ONITSHA-NORTH, ANAMBRA",6.157141,6.7819658,0,130,1,0,134,306,,,,,
"OPEN SPACE BESIDE 15 O'CONOR STREET II, ONITSHA-NORTH, ANAMBRA",6.1546314,6.7877801,3,206,3,0,219,750,,,,,
"2/4 OKOLO STREET, ONITSHA-NORTH, ANAMBRA",6.1543099,6.7855075,1,373,5,3,391,1162,,,,,
"2, ORANYE STREET I, ONITSHA-NORTH, ANAMBRA",6.152944,6.7841105,3,206,3,1,125,304,,,,,
"NEW AMERICAN/OLD HOSPITAL II, ONITSHA-NORTH, ANAMBRA",6.1544031,6.7849047,1,149,4,0,156,597,,,,,
"OPPOSITE HIGH COURT, ONITSHA-NORTH, ANAMBRA",6.1568407,6.7860425,1,141,4,0,152,664,,,,,
"NEW BETHEL PRY. SCHOOL III, ONITSHA-NORTH, ANAMBRA",6.157141,6.7819658,2,174,1,2,185,744,,,,,
"NEW AMERICAN /OLD HOSPITAL I, ONITSHA-NORTH, ANAMBRA",6.1544031,6.7849047,0,254,2,0,260,882,,,,,
"O'CONOR STREET, ONITSHA-NORTH, ANAMBRA",6.1551429,6.7864508,1,244,0,0,250,824,,,,,
"PREMIER PRY. SCHOOL III, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,0,107,0,0,125,655,,,,,
"ALL SAINTS PRY. SCHOOL, ONITSHA-NORTH, ANAMBRA",6.1550253,6.7914073,0,240,5,1,254,1077,,,,,
"2, ORANYE STREET II, ONITSHA-NORTH, ANAMBRA",6.152944,6.7841105,3,213,1,1,225,724,,,,,
"INTERNAL REVENUE I, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,0,181,1,0,193,1040,,,,,
"INTERNAL REVENUE II, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,1,172,1,0,174,926,,,,,
"ADESA/RESIDENCY DRIVE I, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,2,184,1,1,189,872,,,,,
"NIGER DRIVE/OMATA I, ONITSHA-NORTH, ANAMBRA",6.1612494,6.7928631,1,343,3,0,360,1001,,,,,
"ROCK FOUNDATION I, ONITSHA-NORTH, ANAMBRA",6.1623411,6.7928078,0,247,0,0,248,870,,,,,
"ROCK FOUNDATION II, ONITSHA-NORTH, ANAMBRA",6.1628156,6.7886562,0,175,2,0,183,694,,,,,
"NKISSI MAGAZINE/OMU ROAD I, ONITSHA-NORTH, ANAMBRA",6.1641501,6.7958974,0,226,3,1,233,829,,,,,
"OPEN SPACE BESIDE 23 OMU ROAD/NIGER DRIVE, ONITSHA-NORTH, ANAMBRA",6.1634574,6.7965732,1,66,42,2,124,403,,,,,
"OMU CRESCENT/OMU ROAD, ONITSHA-NORTH, ANAMBRA",6.1651837,6.7933651,0,197,0,0,199,480,,,,,
"NIGER DRIVE/OMATA II, ONITSHA-NORTH, ANAMBRA",6.1612494,6.7928631,3,102,3,0,111,282,,,,,
"NKISSI MAGAZINE/OMU ROAD II, ONITSHA-NORTH, ANAMBRA",6.1641501,6.7958974,0,147,0,0,149,577,,,,,
"ROCK FOUNDATION III, ONITSHA-NORTH, ANAMBRA",6.1628156,6.7886562,2,141,1,1,147,668,,,,,
"ASESA/RESIDENCY DRIVE II, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,1,117,0,0,123,615,,,,,
"INTERNAL REVENUE III, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,0,132,5,0,138,684,,,,,
"D.M.G.S III, ONITSHA-NORTH, ANAMBRA",6.1523539,6.7892226,3,235,3,1,243,924,,,,,
"ONUILO OGBEODOGWU SQUARE, ONITSHA-NORTH, ANAMBRA",6.1544831,6.8083066,2,130,3,0,173,741,,,,,
"10, NEW CEMENTRY ROAD, ONITSHA-NORTH, ANAMBRA",6.1342402,6.8002719,1,120,0,0,125,388,,,,,
"UGWUNOBANKPA/MBA ROAD, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,2,190,0,0,193,551,,,,,
"OBI CHIMEZIE SQUARE, ONITSHA-NORTH, ANAMBRA",6.1575304,6.7782493,1,187,4,1,194,720,,,,,
"TASIA ROAD PLAYGROUND II, ONITSHA-NORTH, ANAMBRA",6.1528235,6.794054,1,236,3,3,248,857,,,,,
"OGBEABO SQUARE I, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,0,205,8,0,227,889,,,,,
"OGBEABO SQUARE III, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,1,111,7,0,122,412,,,,,
"UMUIKEM SQUARE I, ONITSHA-NORTH, ANAMBRA",6.1498392,6.7932877,1,177,4,0,188,820,,,,,
"OJIDOKO SQUARE, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,1,211,3,0,217,790,,,,,
"PEP SQUARE/OKOSI ROAD, ONITSHA-NORTH, ANAMBRA",6.147131,6.7942335,0,215,10,0,237,915,,,,,
"ILO OBIOKPORO SQUARE, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,2,145,1,0,148,744,,,,,
"UMUIKEM SQUARE II, ONITSHA-NORTH, ANAMBRA",6.1498392,6.7932877,0,148,3,0,155,692,,,,,
"ABUTU SQUARE, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,0,120,0,2,129,512,,,,,
"ABUTU SQUARE, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,1,299,0,0,129,512,,,,,
"ONITSHA NORTH MOTOR PARK, ONITSHA-NORTH, ANAMBRA",6.1472141,6.8049579,0,131,0,0,133,681,,,,,
"INLAND GIRLS SEC. SCHOOL, ONITSHA-NORTH, ANAMBRA",6.1391097,6.7984245,3,187,1,0,200,526,,,,,
"INLAND GIRLS SEC. SCHOOL, ONITSHA-NORTH, ANAMBRA",6.1391097,6.7984245,1,155,0,0,200,526,,,,,
"OBI OKOSI ROAD/NEW CENTRY, ONITSHA-NORTH, ANAMBRA",6.147131,6.7942335,0,193,3,1,206,782,,,,,
"UPPER IWEKA/OPP. EMERAH, ONITSHA-NORTH, ANAMBRA",6.1406638,6.7843922,0,56,0,0,59,494,,,,,
"TORONTO HOSPITAL OPEN SPACE, ONITSHA-NORTH, ANAMBRA",6.1353246,6.7947463,1,75,0,1,78,220,,,,,
"LIFE INTERNATIONAL PRY. SCHOOL, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,0,142,4,0,155,612,,,,,
"ILO UMUASE SQUARE II, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,1,168,0,1,178,601,,,,,
"ILO UMUASE SQUARE II, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,1,229,2,1,178,601,,,,,
"OBIOZO IMEOBI SQUARE I, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,0,188,2,0,190,794,,,,,
"OBIOZO IMEOBI SQUARE II, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,0,193,0,0,193,662,,,,,
"ONUMA IMEOBI SQUARE, ONITSHA-NORTH, ANAMBRA",6.1472637,6.7823785,1,197,4,0,203,724,,,,,
"ONUMA MATERNITY AREA, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,1,269,3,0,277,806,,,,,
"OGBOLI/OBOLI ROAD PLAY GROUND I, ONITSHA-NORTH, ANAMBRA",6.147328,6.8015637,0,156,0,1,162,776,,,,,
"ILO NGBODO AREA, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,1,144,2,0,157,571,,,,,
"OBIOZOR IMEOBI, ONITSHA-NORTH, ANAMBRA",6.1530057,6.7922041,1,119,0,0,126,514,,,,,
"OGBOLI/OBOLI ROAD PLAY GROUND II, ONITSHA-NORTH, ANAMBRA",6.147328,6.8015637,1,139,4,0,144,614,,,,,
"OGBOLI PRY. SCHOOL I, ONITSHA-NORTH, ANAMBRA",6.1486297,6.8037023,6,256,2,1,268,903,,,,,
"OGBOLI PRY. SCHOOL II, ONITSHA-NORTH, ANAMBRA",6.1486297,6.8037023,0,191,3,1,206,754,,,,,
"ISIOKWE POLICE POST, ONITSHA-NORTH, ANAMBRA",6.1440076,6.8246659,0,284,3,0,298,1035,,,,,
"UGWUNOBANKPA/SLAUGHTER I, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,1,158,2,1,170,796,,,,,
"WASHINGTON GRAMMAR SCHOOL I, ONITSHA-NORTH, ANAMBRA",6.1480353,6.8051253,0,361,5,0,368,1227,,,,,
"WASHINGTON GRAMMAR SCHOOL II, ONITSHA-NORTH, ANAMBRA",6.1480353,6.8051253,2,192,3,0,234,874,,,,,
"UGWUNOBANKPA/SLAUGHTER II, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,0,236,5,0,242,1160,,,,,
"OGWUGWU/ISIOKWE II, ONITSHA-NORTH, ANAMBRA",6.1461772,6.8075093,1,172,3,0,178,703,,,,,
"EZECHIMA PRY. SCHOOL I, ONITSHA-NORTH, ANAMBRA",6.1532297,6.8004744,3,299,3,0,309,1151,,,,,
"EZECHIMA PRY. SCHOOL II, ONITSHA-NORTH, ANAMBRA",6.1532297,6.8004744,0,214,2,0,227,878,,,,,
"ADO GUEST HOUSE II, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,0,290,0,0,296,1176,,,,,
"ACHUKWU LANE I, ONITSHA-NORTH, ANAMBRA",6.147687,6.8102493,0,244,0,0,246,832,,,,,
"ACHUKWU LANE II, ONITSHA-NORTH, ANAMBRA",6.147687,6.8102493,1,209,3,1,231,806,,,,,
"OBELEAGU/CHUKWURAH, ONITSHA-NORTH, ANAMBRA",6.153953,6.8048369,2,324,4,0,331,1356,,,,,
"EZECHIMA PRY. SCHOOL IV, ONITSHA-NORTH, ANAMBRA",6.1532297,6.8004744,2,168,2,1,177,715,,,,,
"REDEEM PRY. SCHOOL, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,1,153,1,2,166,674,,,,,
"ENWEONWU/LACEN COMPLEX, ONITSHA-NORTH, ANAMBRA",6.1564917,6.8008504,1,338,3,1,347,1200,,,,,
"ADO GIRLS SECONDARY SCHOOL, ONITSHA-NORTH, ANAMBRA",6.1546008,6.7963863,2,253,2,2,279,1037,,,,,
"BORROMEO HOSPITAL AREA1, ONITSHA-NORTH, ANAMBRA",6.1430996,6.8183064,0,355,0,0,362,1608,,,,,
"ARMY CHILDREN PRY. SCHOOL, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,11,191,5,5,221,1174,,,,,
"EKENE DILI CHUKWU GATE, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,0,400,1,2,406,1054,,,,,
"CEMETERY/ORAIFITE/PLAY GROUND, ONITSHA-NORTH, ANAMBRA",6.1296844,6.8027097,0,326,1,0,336,1060,,,,,
"KOKA PETROLEUM AREA, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,1,347,1,1,367,1006,,,,,
"MAMMY MARKET I, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,8,108,4,11,142,597,,,,,
"AWKA ROAD/ANYAEJI JUNCTION, ONITSHA-NORTH, ANAMBRA",6.1512446,6.8022263,4,254,0,2,266,812,,,,,
"EZEIWEKA ROAD/PLAY GROUND, ONITSHA-NORTH, ANAMBRA",6.1197008,6.8073844,0,415,0,0,421,1624,,,,,
"NIGERIAN MIRROR AREA, ONITSHA-NORTH, ANAMBRA",6.1771415,6.7828626,0,76,2,0,82,395,,,,,
"MAMMY MARKET III, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,6,102,4,11,140,666,,,,,
"IHIONU/NSUGBE STREET AREA, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,0,574,2,1,582,1451,,,,,
"BORROMEO HOSPITAL AREA, ONITSHA-NORTH, ANAMBRA",6.1430996,6.8183064,0,249,1,2,258,598,,,,,
"OMAGBA PRY. SCHOOL I, ONITSHA-NORTH, ANAMBRA",6.1483182,6.8140805,0,419,3,0,425,1175,,,,,
"NIGER HERITAGE HEIGHS, ONITSHA-NORTH, ANAMBRA",6.1510336,6.8162413,0,197,3,1,206,473,,,,,
"LAKE PETROLEUM AREA, ONITSHA-NORTH, ANAMBRA",6.1164138,6.7917435,1,113,0,0,117,523,,,,,
"ENUGWU AGIDI STREET OSUMENYI, ONITSHA-NORTH, ANAMBRA",6.1513431,6.8183537,1,361,4,1,369,681,,,,,
"UKEH STREET AREA, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,0,468,1,0,478,984,,,,,
"NEW ERA SECONDARY SCHOOL I, ONITSHA-NORTH, ANAMBRA",6.1536729,6.8128437,0,257,2,0,272,534,,,,,
"AGBAKOBA/IZUORA CLUB I, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,3,133,3,0,142,399,,,,,
"ANGLICAN GIRLS SECONDARY SCHOOL, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,0,316,1,0,317,1118,,,,,
"UFUMA/ABA ST. JUNCTION, ONITSHA-NORTH, ANAMBRA",6.1552571,6.8207343,0,361,0,0,362,727,,,,,
"OFONZE SQUARE I, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,2,570,0,1,579,1663,,,,,
"HERITAGE AVENUE PLAY GROUND I, ONITSHA-NORTH, ANAMBRA",6.1483117,6.8165235,0,226,2,0,229,772,,,,,
"IFITEDUNU/AWKUZU STREET JUNCTION, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,0,244,0,2,248,657,,,,,
"OMAGBA PRY. SCHOOL II, ONITSHA-NORTH, ANAMBRA",6.1483182,6.8140805,1,168,3,0,177,526,,,,,
"NEW ERA SECONDARY SCHOOL II, ONITSHA-NORTH, ANAMBRA",6.1536729,6.8128437,0,207,1,0,214,572,,,,,
"AGBAKOBA/IZUORA CLUB II, ONITSHA-NORTH, ANAMBRA",6.1623902,6.8029489,0,156,1,1,159,558,,,,,
