Address,Latitude,Longitude,APC,LP,PDP,NNPP,Accredited_Voters,Registered_Voters,,,,,
"TOWN HALL II, AGUATA, ANAMBRA",6.0085842,7.1009488,5,150,5,0,171,644,,,,,
"AKPUNOJI COMMUNITY SCHOOL II, AGUATA, ANAMBRA",6.0085842,7.1009488,6,123,17,2,172,573,,,,,
"IGWEBUIKE PRY. SCHOOL I, AGUATA, ANAMBRA",6.0085842,7.1009488,7,237,7,5,260,919,,,,,
"IGWEBUIKE PRY. SCHOOL II, AGUATA, ANAMBRA",6.0085842,7.1009488,3,113,4,3,126,445,,,,,
"OLD AKPUNOJI I, AGUATA, ANAMBRA",6.0085842,7.1009488,1,130,0,0,135,426,,,,,
"UMUAGU KINDERGATIN I, AGUATA, ANAMBRA",6.0085842,7.1009488,1,117,4,0,122,378,,,,,
"UMUAGU KINDERGATIN II, AGUATA, ANAMBRA",6.0085842,7.1009488,2,72,3,0,89,249,,,,,
"OGBUGBAOGU PRY. SCHOOL I, AGUATA, ANAMBRA",6.0085842,7.1009488,1,101,0,0,108,337,,,,,
"B.S.S., AGUATA, ANAMBRA",6.0085842,7.1009488,1,79,2,0,84,279,,,,,
"ANULI PRY. SCHOOL, AGUATA, ANAMBRA",6.0085842,7.1009488,1,243,1,0,245,691,,,,,
"ANULI PRY. SCHOOL, AGUATA, ANAMBRA",6.0085842,7.1009488,1,243,2,3,245,691,,,,,
"NWAHIA KINDER SCHOOL, AGUATA, ANAMBRA",6.0085842,7.1009488,4,149,4,3,192,637,,,,,
"EZIHU/AFOR, AGUATA, ANAMBRA",6.0085842,7.1009488,2,99,8,2,119,390,,,,,
"OZALLA CENTRE, AGUATA, ANAMBRA",6.0085842,7.1009488,0,140,15,0,160,600,,,,,
"UMUOBI KINDER SCHOOL, AGUATA, ANAMBRA",6.0085842,7.1009488,0,153,30,0,163,515,,,,,
"UMUEZENWA CENTRE, AGUATA, ANAMBRA",6.0085842,7.1009488,1,116,1,0,115,358,,,,,
"PRIMARY SCHOOL OBIUNO I, AGUATA, ANAMBRA",6.0085842,7.1009488,1,142,0,0,153,494,,,,,
"OBIUNO YOUTHS CENTRE I, AGUATA, ANAMBRA",6.0085842,7.1009488,1,154,1,0,158,471,,,,,
"OBIUNO YOUTHS CENTRE II, AGUATA, ANAMBRA",6.0085842,7.1009488,2,33,1,2,168,486,,,,,
"AMAKPU SQUARE, AGUATA, ANAMBRA",6.0085842,7.1009488,1,179,3,0,189,625,,,,,
"PRY. SCHOOL, NGO, AGUATA, ANAMBRA",6.0121545,7.0073806,1,136,4,3,149,459,,,,,
"MGBENDO HALL, AGUATA, ANAMBRA",6.0085842,7.1009488,0,0,0,0,113,329,,,,,
"MGBENDO HALL, AGUATA, ANAMBRA",6.0085842,7.1009488,0,126,1,2,113,329,,,,,
"EZEKWEKA HALL, AGUATA, ANAMBRA",6.0085842,7.1009488,2,98,1,1,105,312,,,,,
"AMAUDO/AKUKWA SQUARE, AGUATA, ANAMBRA",6.0085842,7.1009488,2,111,0,0,119,446,,,,,
"NGO SQUARE, AGUATA, ANAMBRA",6.0085842,7.1009488,0,76,6,0,88,569,,,,,
"EZEACHAOKE HALL, AGUATA, ANAMBRA",6.0085842,7.1009488,0,121,1,3,141,438,,,,,
"UMUAZUCHAOKE HALL, AGUATA, ANAMBRA",6.0085842,7.1009488,0,114,0,1,118,380,,,,,
